Unnamed: 0,carat,cut,cut_ord,color,clarity,clarity_ord,price,color_ord
1,0.51,Premium,4,F,VS1,4,1749,5
2,2.25,Fair,1,G,I1,1,7069,4
3,0.7,Very Good,3,E,VS2,5,2757,5
4,0.47,Good,2,F,VS1,4,1243,5
5,0.3,Ideal,5,G,VVS1,7,789,4
6,0.33,Ideal,5,D,SI1,3,728,5
7,2.01,Very Good,3,G,SI1,3,18398,4
8,0.51,Ideal,5,F,VVS2,6,2203,5
9,1.7,Premium,4,D,SI1,3,15100,5
10,0.53,Premium,4,D,VS2,5,1857,5
11,0.39,Premium,4,H,SI1,3,834,4
12,1.5,Very Good,3,H,SI1,3,7708,4
13,1.0,Premium,4,E,VS2,5,6272,5
14,1.29,Ideal,5,J,VS1,4,5676,4
15,2.01,Good,2,D,SI2,2,16776,5
16,1.13,Ideal,5,G,VS1,4,7404,4
17,0.7,Ideal,5,I,SI2,2,1702,4
18,0.38,Very Good,3,I,VS1,4,606,4
19,1.17,Ideal,5,H,SI2,2,5423,4
20,1.51,Premium,4,F,SI1,3,8033,5
21,0.4,Ideal,5,D,VVS1,7,1279,5
22,0.41,Very Good,3,F,VS2,5,863,5
23,0.51,Ideal,5,G,VVS1,7,1893,4
24,1.0,Premium,4,H,SI2,2,3584,4
25,1.09,Ideal,5,F,VVS2,6,10196,5
26,0.39,Good,2,E,VS1,4,1082,5
27,0.72,Premium,4,E,VS2,5,3024,5
28,1.14,Very Good,3,E,SI2,2,5593,5
29,0.3,Ideal,5,D,VS2,5,710,5
30,0.3,Ideal,5,H,SI1,3,465,4
31,0.71,Very Good,3,H,SI1,3,2188,4
32,1.22,Very Good,3,H,SI2,2,5192,4
33,1.53,Ideal,5,H,SI2,2,9562,4
34,0.5,Premium,4,F,VS2,5,1436,5
35,0.42,Ideal,5,G,VS2,5,1087,4
36,1.22,Ideal,5,H,SI1,3,6727,4
37,0.3,Ideal,5,I,VVS1,7,552,4
38,0.25,Ideal,5,G,VVS2,6,525,4
39,0.33,Very Good,3,H,VS1,4,579,4
40,1.2,Ideal,5,G,SI1,3,6741,4
41,0.7,Ideal,5,G,VVS2,6,3205,4
42,0.31,Premium,4,F,VS2,5,802,5
43,0.41,Ideal,5,F,VS2,5,1107,5
44,0.9,Ideal,5,E,SI2,2,3200,5
45,1.44,Good,2,G,I1,1,5987,4
46,0.7,Good,2,G,SI1,3,2218,4
47,0.35,Premium,4,E,SI1,3,788,5
48,0.54,Premium,4,D,SI1,3,1595,5
49,1.71,Very Good,3,F,VS2,5,13818,5
50,1.01,Premium,4,F,VS2,5,6244,5
51,0.43,Ideal,5,G,SI2,2,935,4
52,0.71,Ideal,5,E,VS2,5,3304,5
